the_geom,p_lecz,field_1,unique_id,id_no,site_id,name_seria,name_en,name_fr,date_inscr,sec_date,danger_lis,longitude,latitude,area_ha,area_ha1,c1,c2,c3,c4,c5,c6,criteria_t,category,category_s,states_en,states_fr,region_en,region_fr,iso_code,undp_code,transbound,her_type1,her_type2,buffer_ha,srtm_min,srtm_max,srtm_mean,cartodb_id,ur_grump,ur_mod_buf,ur_joined,dist_mcd,dist_gshhs,dist_join,column_2020_rcp2_6_flood,column_2020_rcp2_6_erosion,column_2020_rcp4_5_flood,column_2020_rcp4_5_erosion,column_2020_rcp8_5_flood,column_2020_rcp8_5_erosion,column_2020_high_end_flood,column_2020_high_end_erosion,column_2030_rcp2_6_flood,column_2030_rcp2_6_erosion,column_2030_rcp4_5_flood,column_2030_rcp4_5_erosion,column_2030_rcp8_5_flood,column_2030_rcp8_5_erosion,column_2030_high_end_flood,column_2030_high_end_erosion,column_2050_rcp2_6_flood,column_2050_rcp2_6_erosion,column_2050_rcp4_5_flood,column_2050_rcp4_5_erosion,column_2050_rcp8_5_flood,column_2050_rcp8_5_erosion,column_2050_high_end_flood,column_2050_high_end_erosion,column_2100_rcp2_6_flood,column_2100_rcp2_6_erosion,column_2100_rcp4_5_flood,column_2100_rcp4_5_erosion,column_2100_rcp8_5_flood,column_2100_rcp8_5_erosion,column_2100_high_end_flood,column_2100_high_end_erosion
0101000020E6100000B19F498BC81B32408E62B1340D524540,0,8,10,95,1,Old City of Dubrovnik,Old City of Dubrovnik,Vieille ville de Dubrovnik,1979,1994,P 1991-1998,18.10852881,42.64102801,24.7,23.45091738,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,44,46,45,9,1,1,1,355.4008193,543.91029,355.4008193,4.91,6.59,4.95,6.59,4.91,6.59,5.43,6.59,5.07,6.59,5.07,6.59,5.07,6.59,5.8,6.59,5.35,6.59,5.47,6.59,5.47,6.59,6.84,6.59,6.08,6.59,6.52,6.59,6.85,6.59,6.87,6.59
0101000020E6100000416C237DDE3F3040A6AEA51519C24540,0.8798554,9,8,810,0, ,Historic City of Trogir,Ville historique de Trogir,1997,0, ,16.24948866,43.51639052,6.4,6.571156387,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,3,12,5.9091,10,1,1,1,373.7321655,318.5431941,373.7321655,6.77,6.59,6.77,6.59,6.77,6.59,7.34,6.59,6.87,6.59,6.91,6.59,6.87,6.59,7.76,6.59,7.15,6.59,7.29,6.59,7.29,6.59,8.78,6.59,7.81,6.59,8.28,6.59,8.8,6.59,10,6.59
0101000020E61000005F5B81193AC72F40B5C95D5B2ADE4540,0,10,9,963,0, ,The Cathedral of St James in ibenik,Cathédrale Saint-Jacques de ibenik,2000,0, ,15.88911514,43.73566763,0.1,0.083057799,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,26,36,32.333,11,1,1,1,102.7319633,246.8690729,102.7319633,8.28,5.37,8.28,5.37,8.28,5.37,8.8,5.53,8.4,5.41,8.44,5.42,8.4,5.41,9.2,5.65,8.68,5.49,8.8,5.53,8.8,5.53,10,5.94,9.36,5.69,9.8,5.82,10,5.96,10,6.5
0101000020E61000006E28842757A23040FC67171D5A974540,1,11,11,1240,0, ,Stari Grad Plain,Plaine de Stari Grad,2008,0, ,16.63414237,43.18243755,1376.53,1097.865805,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,3,0,0,8,4.7105,12,1,1,1,0,0,0,0,4.05,0,4.07,0,4.05,0,4.2,0,4.1,0,4.11,0,4.1,0,4.31,0,4.19,0,4.21,0,4.21,0,4.61,0,4.38,0,4.51,0,4.67,0,5.32
0101000020E6100000D95BCAF962494040AAB727C4B35A4140,1,12,12,79,3,"Aphrodite's Sanctuary (""Palaepaphos"")",Paphos,Paphos,1980,0, ,32.573333,34.70861103,22.9227,22.96583901,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,4,6,5.3333,13,1,1,1,39.47322439,0,39.47322439,4.05,8.48,4.09,8.48,4.05,8.48,4.57,8.48,4.21,8.48,4.25,8.48,4.25,8.48,5.06,8.48,4.62,8.48,4.74,8.48,4.74,8.48,6.2,8.48,5.47,8.48,6,8.48,6.61,8.48,6.7,8.48
0101000020E6100000E39AD05EDC33404099ABD50D4A634140,0.212403,13,13,79,2,Kato Paphos necropolis,Paphos,Paphos,1980,0, ,32.40516267,34.77569745,32.6883,32.69540898,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,3,0,-3,59,28.079,14,1,1,1,0,0,0,4.05,8.48,4.09,8.48,4.05,8.48,4.57,8.48,4.21,8.48,4.25,8.48,4.25,8.48,5.06,8.48,4.62,8.48,4.74,8.48,4.74,8.48,6.2,8.48,5.47,8.48,6,8.48,6.61,8.48,6.7,8.48
0101000020E6100000114BD24E30344040FA39EC5B39614140,0,14,14,79,1,"Aphrodite's Sacred City, Kato Paphos",Paphos,Paphos,1980,0, ,32.40772424,34.75956296,106.4061,105.8940958,0,0,1,0,0,1,(iii)(vi),Cultural,C,Cyprus,Chypre,Europe and North America,Europe et Amérique du nord,cy,cyp,0,3,,0,51,93,77.879,15,0,0,0,1630.48662,1083.484918,1630.48662,4.05,8.48,4.09,8.48,4.05,8.48,4.57,8.48,4.21,8.48,4.25,8.48,4.25,8.48,5.06,8.48,4.62,8.48,4.74,8.48,4.74,8.48,6.2,8.48,5.47,8.48,6,8.48,6.61,8.48,6.7,8.48
0101000020E6100000873C70386D8412402D5AA1C4BED64540,0.4175867,15,22,164,0, ,"Arles, Roman and Romanesque Monuments","Arles, monuments romains et romans",1981,0, ,4.629322893,43.67769678,65,64.38296539,0,0,1,0,0,1,(iii)(vi),Cultural,C,Cyprus,Chypre,Europe and North America,Europe et Amérique du nord,cy,cyp,0,3,,0,0,22,9.5319,16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,5.62
0101000020E61000007B7D73A0033A3C4027B38BB3B3384240,0.6601337,16,24,493,0, ,Medieval City of Rhodes,Ville médiévale de Rhodes,1988,0, ,28.22661784,36.44298405,65.85,54.47099017,0,0,1,0,0,1,(iii)(vi),Cultural,C,Cyprus,Chypre,Europe and North America,Europe et Amérique du nord,cy,cyp,0,3,,0,0,24,8.4106,17,1,1,1,0,0,0,0,6.55,0,6.55,0,6.55,0,6.55,0,6.55,0,6.55,0,6.55,0,6.55,0,6.55,0,6.55,0,6.55,0,6.55,0,6.55,0,6.55,0,6.55,0,6.58
0101000020E6100000540AB24C5C4539400992D2C757B24240,0.1906203,17,25,530,0, ,Delos,Délos,1990,0, ,25.27093963,37.39330385,350.64,344.7367669,1,0,1,1,0,0,(i)(iii)(iv),Cultural,C,Croatia,Croatie,Europe and North America,Europe et Amérique du nord,hr,hrv,0,2,,0,-4,82,26.89,18,1,1,0,0,0,0,3.66,7.33,3.66,7.33,3.66,7.33,4.14,7.33,3.66,7.33,3.7,7.33,3.66,7.33,4.42,7.33,3.7,7.33,3.82,7.33,3.82,7.33,5.18,7.33,3.74,7.33,4.18,7.33,4.78,7.33,6.46,7.33
0101000020E61000005547F19EC1E33A408853BD67EAD64240,0.3763589,18,26,595,2,Heraion of Samos,Pythagoreion and Heraion of Samos,Pythagoreion et Heraion de Samos,1992,0, ,26.88967317,37.67902848,382.45,356.1039788,1,0,1,1,0,0,(i)(iii)(iv),Cultural,C,Croatia,Croatie,Europe and North America,Europe et Amérique du nord,hr,hrv,0,2,,53.7,0,37,10.625,19,1,1,1,0,0,0,3.82,9.43,3.82,9.43,3.82,9.43,4.32,9.43,3.94,9.43,3.94,9.43,3.94,9.43,4.74,9.43,4.24,9.43,4.32,9.43,4.36,9.43,5.84,9.43,4.87,9.43,5.38,9.43,6.01,9.43,6.98,9.43
0101000020E6100000DAF1D3761BEF3A406043EC2322D94240,0.265859,19,28,595,1,Pythagoreion of Samos,Pythagoreion and Heraion of Samos,Pythagoreion et Heraion de Samos,1992,0, ,26.93401282,37.69635438,285.9,246.7956705,1,1,1,1,0,0,(i)(ii)(iii)(iv),Cultural,C,Montenegro,Monténégro,Europe and North America,Europe et Amérique du nord,me,mne,0,1,2,36491,-10,1374,358.69,20,1,1,0,0,0,0,3.82,9.43,3.82,9.43,3.82,9.43,4.32,9.43,3.94,9.43,3.94,9.43,3.94,9.43,4.74,9.43,4.24,9.43,4.32,9.43,4.36,9.43,5.84,9.43,4.87,9.43,5.38,9.43,6.01,9.43,6.98,9.43
0101000020E61000006EAF9A2134EC33407C2BF104EBCF4340,0.7383972,20,27,978,0, ,Old Town of Corfu,Vieille ville de Corfou,2007,0, ,19.92267046,39.62435972,70,64.42864378,0,1,1,1,0,0,(ii)(iii)(iv),Cultural,C,Croatia,Croatie,Europe and North America,Europe et Amérique du nord,hr,hrv,0,2,,0,-3,16,5.0556,21,1,1,1,0,0,0,3.64,6.62,3.64,6.62,3.64,6.62,4.12,6.62,3.76,6.62,3.8,6.62,3.76,6.62,4.57,6.62,4.12,6.62,4.2,6.62,4.24,6.62,5.66,6.62,4.85,6.62,5.34,6.62,5.9,6.62,6.2,6.62
0101000020E61000009010E50B5A7E4140DD0BCC0A45684040,0.0852417,21,31,1220,1,North Slope of the Mount Carmel (Carmel North),Bahái Holy Places in Haifa and the Western Galilee,Lieux saints baháis à Haïfa et en Galilée occidentale,2008,0, ,34.987123,32.814607,-9999,3.146231248,1,0,0,0,0,1,(i)(vi),Cultural,C,Malta,Malte,Europe and North America,Europe et Amérique du nord,mt,mlt,0,2,,0,0,68,40.13,22,1,1,1,0,0,0,3.93,8.7,3.93,8.7,3.89,8.7,4.41,8.7,4.05,8.7,4.09,8.7,4.09,8.7,4.89,8.7,4.41,8.7,4.53,8.7,4.57,8.7,6.01,8.7,5.21,8.7,5.73,8.7,6.01,8.7,6.01,8.7
0101000020E61000007FA31D37FC7E4140747B4963B4684040,0.2230632,22,32,1220,2,Persian Quarter (Carmel North),Bahái Holy Places in Haifa and the Western Galilee,Lieux saints baháis à Haïfa et en Galilée occidentale,2008,0, ,34.992072,32.818005,-9999,3.146228968,0,1,0,1,0,0,(ii)(iv),Cultural,C,France,France,Europe and North America,Europe et Amérique du nord,fr,fra,0,2,,0,2,29,15.194,23,1,1,1,25700.40485,23654.82347,25700.40485,3.93,8.7,3.93,8.7,3.89,8.7,4.41,8.7,4.05,8.7,4.09,8.7,4.09,8.7,4.89,8.7,4.41,8.7,4.53,8.7,4.57,8.7,6.01,8.7,5.21,8.7,5.73,8.7,6.01,8.7,6.01,8.7
0101000020E6100000BDC96FD1C97C4140F17D71A94A694040,0.3372363,23,33,1220,3,Place of Revelation (Carmel West),Bahái Holy Places in Haifa and the Western Galilee,Lieux saints baháis à Haïfa et en Galilée occidentale,2008,0, ,34.974909,32.822591,-9999,3.146225891,1,1,1,0,0,0,(i)(ii)(iii),Cultural,C,Libya,Libye,Arab States,États arabes,ly,lby,0,3,,-9999,0,30,12.824,24,1,1,0,0,27.04842146,0,3.93,8.7,3.93,8.7,3.89,8.7,4.41,8.7,4.05,8.7,4.09,8.7,4.09,8.7,4.89,8.7,4.41,8.7,4.53,8.7,4.57,8.7,6.01,8.7,5.21,8.7,5.73,8.7,6.01,8.7,6.01,8.7
0101000020E6100000BD8F611D607C4140180CE8642D6A4040,0.4575724,24,34,1220,4,Bahai Cementary (Carmel West),Bahái Holy Places in Haifa and the Western Galilee,Lieux saints baháis à Haïfa et en Galilée occidentale,2008,0, ,34.97168319,32.82951032,-9999,0.644632634,0,0,1,0,0,0,(iii),Cultural,C,Libya,Libye,Arab States,États arabes,ly,lby,0,3,,-9999,1,16,10.694,25,1,1,0,0,9.030832107,0,3.93,8.7,3.93,8.7,3.89,8.7,4.41,8.7,4.05,8.7,4.09,8.7,4.09,8.7,4.89,8.7,4.41,8.7,4.53,8.7,4.57,8.7,6.01,8.7,5.21,8.7,5.73,8.7,6.01,8.7,6.01,8.7
0101000020E6100000C4388784D28B41408F79B2D5C4784040,0,25,35,1220,5,Bahji,Bahái Holy Places in Haifa and the Western Galilee,Lieux saints baháis à Haïfa et en Galilée occidentale,2008,0, ,35.09236199,32.94350692,-9999,15.15301872,0,0,1,1,0,0,(iii)(iv),Cultural,C,Algeria,Algérie,Arab States,États arabes,dz,dza,1,3,,0,216,263,247,26,0,0,0,1743.489493,1733.879706,1743.489493,3.93,8.7,3.93,8.7,3.89,8.7,4.41,8.7,4.05,8.7,4.09,8.7,4.09,8.7,4.89,8.7,4.41,8.7,4.53,8.7,4.57,8.7,6.01,8.7,5.21,8.7,5.73,8.7,6.01,8.7,6.01,8.7
0101000020E6100000FC1D06CAD8884140CB4AB46039764040,0.2245171,26,36,1220,6,the Prison (Old Acre Sites),Bahái Holy Places in Haifa and the Western Galilee,Lieux saints baháis à Haïfa et en Galilée occidentale,2008,0, ,35.06911588,32.92362603,-9999,0.090810895,0,0,1,1,0,0,(iii)(iv),Cultural,C,Algeria,Algérie,Arab States,États arabes,dz,dza,1,3,,0,-1,29,17.375,27,1,1,1,0,0,0,3.93,8.7,3.93,8.7,3.89,8.7,4.41,8.7,4.05,8.7,4.09,8.7,4.09,8.7,4.89,8.7,4.41,8.7,4.53,8.7,4.57,8.7,6.01,8.7,5.21,8.7,5.73,8.7,6.01,8.7,6.01,8.7
0101000020E61000002C69FFE29D88414006666414F4754040,0.1575766,27,37,1220,7,House of Abbud (Old Acre Sites),Bahái Holy Places in Haifa and the Western Galilee,Lieux saints baháis à Haïfa et en Galilée occidentale,2008,0, ,35.06731832,32.92151122,-9999,0.06614326,0,0,1,1,0,0,(iii)(iv),Cultural,C,Algeria,Algérie,Arab States,États arabes,dz,dza,1,3,,0,-3,27,15.372,28,1,1,1,0,0,0,3.93,8.7,3.93,8.7,3.89,8.7,4.41,8.7,4.05,8.7,4.09,8.7,4.09,8.7,4.89,8.7,4.41,8.7,4.53,8.7,4.57,8.7,6.01,8.7,5.21,8.7,5.73,8.7,6.01,8.7,6.01,8.7
0101000020E6100000DF76572CB4884140A15A33E83A764040,0.3026324,28,38,1220,8,House of Abdu'llah Pasha (Old Acre Sites),Bahái Holy Places in Haifa and the Western Galilee,Lieux saints baháis à Haïfa et en Galilée occidentale,2008,0, ,35.06799845,32.9236727,-9999,0.898810712,0,0,1,1,0,1,(iii)(iv)(vi),Cultural,C,Lebanon,Liban,Arab States,États arabes,lb,lbn,0,3,,-9999,0,26,11.933,29,0,1,1,0,0,0,3.93,8.7,3.93,8.7,3.89,8.7,4.41,8.7,4.05,8.7,4.09,8.7,4.09,8.7,4.89,8.7,4.41,8.7,4.53,8.7,4.57,8.7,6.01,8.7,5.21,8.7,5.73,8.7,6.01,8.7,6.01,8.7
0101000020E6100000552BFAE0888B4140988E94884B754040,0.7321238,29,39,1220,9,Ridv'an Garden,Bahái Holy Places in Haifa and the Western Galilee,Lieux saints baháis à Haïfa et en Galilée occidentale,2008,0, ,35.09011471,32.9163676,-9999,9.535642971,0,0,1,0,0,1,(iii)(vi),Cultural,C,Lebanon,Liban,Arab States,États arabes,lb,lbn,0,2,3,0,-2,25,8.662393,30,1,1,1,0,0,0,3.93,8.7,3.93,8.7,3.89,8.7,4.41,8.7,4.05,8.7,4.09,8.7,4.09,8.7,4.89,8.7,4.41,8.7,4.53,8.7,4.57,8.7,6.01,8.7,5.21,8.7,5.73,8.7,6.01,8.7,6.01,8.7
0101000020E610000083D38A88C58C41403C337F545C7E4040,1,30,40,1220,10,Mansion of Mazra'ih,Bahái Holy Places in Haifa and the Western Galilee,Lieux saints baháis à Haïfa et en Galilée occidentale,2008,0, ,35.09977824,32.98719269,-9999,4.427923823,0,0,1,0,0,0,(iii),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,0,6,4.8,31,0,0,0,0,108.3862766,0,3.93,8.7,3.93,8.7,3.89,8.7,4.41,8.7,4.05,8.7,4.09,8.7,4.09,8.7,4.89,8.7,4.41,8.7,4.53,8.7,4.57,8.7,6.01,8.7,5.21,8.7,5.73,8.7,6.01,8.7,6.01,8.7
0101000020E610000017A1B7FC308C4140C03CC7F4427F4040,0,31,41,1220,11,Junayn,Bahái Holy Places in Haifa and the Western Galilee,Lieux saints baháis à Haïfa et en Galilée occidentale,2008,0, ,35.09524497,32.99423084,-9999,0.939546645,0,0,1,0,0,0,(iii),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,19,23,19,32,1,0,0,827.4044731,1051.018539,827.4044731,3.93,8.7,3.93,8.7,3.89,8.7,4.41,8.7,4.05,8.7,4.09,8.7,4.09,8.7,4.89,8.7,4.41,8.7,4.53,8.7,4.57,8.7,6.01,8.7,5.21,8.7,5.73,8.7,6.01,8.7,6.01,8.7
0101000020E610000066FD0338FF884140407F468E19764040,0,32,42,1042,0, ,Old City of Acre,Vieille ville dAcre,2001,0, ,35.07028866,32.9226549,63.3,44.70375724,1,1,1,1,0,0,(i)(ii)(iii)(iv),Cultural,C,Turkey,Turquie,Europe and North America,Europe et Amérique du nord,tr,tur,0,2,,0,16,52,39.125,33,1,1,1,339.8222776,96.17236133,339.8222776,4.96,8.64,4.96,8.64,4.92,8.64,5.44,8.64,5.08,8.64,5.12,8.64,5.12,8.64,5.92,8.64,5.44,8.64,5.56,8.64,5.6,8.64,7.05,8.64,6.24,8.64,6.76,8.64,7.05,8.64,7.11,8.64
0101000020E61000000F991330116341401ED6443474094040,0,33,43,1096,0, ,White City of Tel-Aviv -- the Modern Movement,Ville blanche de Tel-Aviv  le mouvement moderne,2003,0, ,34.77396203,32.07385877,140.4,272.0858327,1,1,1,1,0,0,(i)(ii)(iii)(iv),Cultural,C,Turkey,Turquie,Europe and North America,Europe et Amérique du nord,tr,tur,0,2,,0,14,65,47.571,34,1,1,1,165.7704438,0,165.7704438,0,8.07,0,8.07,0,8.07,0,8.12,0,8.08,0,8.09,0,8.09,0,8.16,0,8.12,0,8.13,0,8.13,0,8.27,0,8.19,0,8.24,0,8.3,0,8.53
0101000020E610000032AC45B8876428407C7FA404D4354640,0.9997231,36,49,788,2,Church of St. Vitale,Early Christian Monuments of Ravenna,Monuments paléochrétiens de Ravenne,1996,0, ,12.19634796,44.42053278,0.14,0.174261399,1,1,1,1,1,1,(i)(ii)(iii)(iv)(v)(vi),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,1,2,0,-20,20,-0.62431,37,1,1,1,0,0,0,9.84,0,9.88,0,9.84,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,8.64
0101000020E6100000991A3604A6672840B87F3C2698354640,1,37,103,788,6,Arian Baptistry,Early Christian Monuments of Ravenna,Monuments paléochrétiens de Ravenne,1996,0, ,12.20243848,44.41870573,0.008,0.007960624,1,1,1,1,0,0,(i)(ii)(iii)(iv),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,4,,3.02,4,4,4,38,1,1,1,8474.368655,8685.868938,8474.368655,9.84,0,9.88,0,9.84,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,8.64
