,unique_id,id_no,site_id,name_seria,name_en,name_fr,date_inscr,sec_date,danger_lis,longitude,latitude,area_ha,area_ha1,C1,C2,C3,C4,C5,C6,criteria_t,category,category_s,states_en,states_fr,region_en,region_fr,iso_code,undp_code,transbound,her_type1,her_type2,buffer_ha,srtm_min,srtm_max,srtm_mean,p_lecz,ur_grump,ur_mod_buf,ur_joined,dist_mcd,dist_gshhs,dist_join,2020_RCP2.6_flood,2020_RCP2.6_erosion,2020_RCP4.5_flood,2020_RCP4.5_erosion,2020_RCP8.5_flood,2020_RCP8.5_erosion,2020_High-End_flood,2020_High-End_erosion,2030_RCP2.6_flood,2030_RCP2.6_erosion,2030_RCP4.5_flood,2030_RCP4.5_erosion,2030_RCP8.5_flood,2030_RCP8.5_erosion,2030_High-End_flood,2030_High-End_erosion,2050_RCP2.6_flood,2050_RCP2.6_erosion,2050_RCP4.5_flood,2050_RCP4.5_erosion,2050_RCP8.5_flood,2050_RCP8.5_erosion,2050_High-End_flood,2050_High-End_erosion,2100_RCP2.6_flood,2100_RCP2.6_erosion,2100_RCP4.5_flood,2100_RCP4.5_erosion,2100_RCP8.5_flood,2100_RCP8.5_erosion,2100_High-End_flood,2100_High-End_erosion
10,9,963,0, ,The Cathedral of St James in ibenik,Cathédrale Saint-Jacques de ibenik,2000,0, ,15.88911514,43.73566763,0.1,0.083057799,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0.0,26,36,32.333,0.0,1,1,1,102.73196329999999,246.86907290000002,102.73196329999999,8.28,5.37,8.28,5.37,8.28,5.37,8.8,5.53,8.4,5.41,8.44,5.42,8.4,5.41,9.2,5.65,8.68,5.49,8.8,5.53,8.8,5.53,10.0,5.94,9.36,5.69,9.8,5.82,10.0,5.96,10.0,6.5
11,11,1240,0, ,Stari Grad Plain,Plaine de Stari Grad,2008,0, ,16.63414237,43.18243755,1376.53,1097.8658050000001,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,3.0,0.0,0,8,4.7105,1.0,1,1,1,0.0,0.0,0.0,0.0,4.05,0.0,4.07,0.0,4.05,0.0,4.2,0.0,4.1,0.0,4.11,0.0,4.1,0.0,4.31,0.0,4.19,0.0,4.21,0.0,4.21,0.0,4.61,0.0,4.38,0.0,4.51,0.0,4.67,0.0,5.32
12,12,79,3,"Aphrodite's Sanctuary (""Palaepaphos"")",Paphos,Paphos,1980,0, ,32.573333,34.70861103,22.9227,22.96583901,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0.0,4,6,5.3333,1.0,1,1,1,39.47322439,0.0,39.47322439,4.05,8.48,4.09,8.48,4.05,8.48,4.57,8.48,4.21,8.48,4.25,8.48,4.25,8.48,5.06,8.48,4.62,8.48,4.74,8.48,4.74,8.48,6.2,8.48,5.47,8.48,6.0,8.48,6.61,8.48,6.7,8.48
13,13,79,2,Kato Paphos necropolis,Paphos,Paphos,1980,0, ,32.40516267,34.77569745,32.6883,32.69540898,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,3.0,0.0,-3,59,28.079,0.212403,1,1,1,0.0,0.0,0.0,4.05,8.48,4.09,8.48,4.05,8.48,4.57,8.48,4.21,8.48,4.25,8.48,4.25,8.48,5.06,8.48,4.62,8.48,4.74,8.48,4.74,8.48,6.2,8.48,5.47,8.48,6.0,8.48,6.61,8.48,6.7,8.48
14,14,79,1,"Aphrodite's Sacred City, Kato Paphos",Paphos,Paphos,1980,0, ,32.40772424,34.75956296,106.4061,105.89409579999999,0,0,1,0,0,1,(iii)(vi),Cultural,C,Cyprus,Chypre,Europe and North America,Europe et Amérique du nord,cy,cyp,0,3,,0.0,51,93,77.87899999999999,0.0,0,0,0,1630.48662,1083.4849179999999,1630.48662,4.05,8.48,4.09,8.48,4.05,8.48,4.57,8.48,4.21,8.48,4.25,8.48,4.25,8.48,5.06,8.48,4.62,8.48,4.74,8.48,4.74,8.48,6.2,8.48,5.47,8.48,6.0,8.48,6.61,8.48,6.7,8.48
15,22,164,0, ,"Arles, Roman and Romanesque Monuments","Arles, monuments romains et romans",1981,0, ,4.629322893,43.67769678,65.0,64.38296539,0,0,1,0,0,1,(iii)(vi),Cultural,C,Cyprus,Chypre,Europe and North America,Europe et Amérique du nord,cy,cyp,0,3,,0.0,0,22,9.5319,0.41758670000000003,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,5.62
16,24,493,0, ,Medieval City of Rhodes,Ville médiévale de Rhodes,1988,0, ,28.22661784,36.44298405,65.85,54.47099017,0,0,1,0,0,1,(iii)(vi),Cultural,C,Cyprus,Chypre,Europe and North America,Europe et Amérique du nord,cy,cyp,0,3,,0.0,0,24,8.4106,0.6601336999999999,1,1,1,0.0,0.0,0.0,0.0,6.55,0.0,6.55,0.0,6.55,0.0,6.55,0.0,6.55,0.0,6.55,0.0,6.55,0.0,6.55,0.0,6.55,0.0,6.55,0.0,6.55,0.0,6.55,0.0,6.55,0.0,6.55,0.0,6.55,0.0,6.58
17,25,530,0, ,Delos,Délos,1990,0, ,25.27093963,37.39330385,350.64,344.73676689999996,1,0,1,1,0,0,(i)(iii)(iv),Cultural,C,Croatia,Croatie,Europe and North America,Europe et Amérique du nord,hr,hrv,0,2,,0.0,-4,82,26.89,0.1906203,1,1,0,0.0,0.0,0.0,3.66,7.33,3.66,7.33,3.66,7.33,4.14,7.33,3.66,7.33,3.7,7.33,3.66,7.33,4.42,7.33,3.7,7.33,3.8200000000000003,7.33,3.8200000000000003,7.33,5.18,7.33,3.74,7.33,4.18,7.33,4.78,7.33,6.46,7.33
18,26,595,2,Heraion of Samos,Pythagoreion and Heraion of Samos,Pythagoreion et Heraion de Samos,1992,0, ,26.88967317,37.67902848,382.45,356.1039788,1,0,1,1,0,0,(i)(iii)(iv),Cultural,C,Croatia,Croatie,Europe and North America,Europe et Amérique du nord,hr,hrv,0,2,,53.7,0,37,10.625,0.37635890000000005,1,1,1,0.0,0.0,0.0,3.8200000000000003,9.43,3.8200000000000003,9.43,3.8200000000000003,9.43,4.32,9.43,3.94,9.43,3.94,9.43,3.94,9.43,4.74,9.43,4.24,9.43,4.32,9.43,4.36,9.43,5.84,9.43,4.87,9.43,5.38,9.43,6.01,9.43,6.98,9.43
19,28,595,1,Pythagoreion of Samos,Pythagoreion and Heraion of Samos,Pythagoreion et Heraion de Samos,1992,0, ,26.93401282,37.69635438,285.9,246.7956705,1,1,1,1,0,0,(i)(ii)(iii)(iv),Cultural,C,Montenegro,Monténégro,Europe and North America,Europe et Amérique du nord,me,mne,0,1,2.0,36491.0,-10,1374,358.69,0.265859,1,1,0,0.0,0.0,0.0,3.8200000000000003,9.43,3.8200000000000003,9.43,3.8200000000000003,9.43,4.32,9.43,3.94,9.43,3.94,9.43,3.94,9.43,4.74,9.43,4.24,9.43,4.32,9.43,4.36,9.43,5.84,9.43,4.87,9.43,5.38,9.43,6.01,9.43,6.98,9.43
20,27,978,0, ,Old Town of Corfu,Vieille ville de Corfou,2007,0, ,19.92267046,39.62435972,70.0,64.42864378,0,1,1,1,0,0,(ii)(iii)(iv),Cultural,C,Croatia,Croatie,Europe and North America,Europe et Amérique du nord,hr,hrv,0,2,,0.0,-3,16,5.0556,0.7383972,1,1,1,0.0,0.0,0.0,3.64,6.62,3.64,6.62,3.64,6.62,4.12,6.62,3.76,6.62,3.8,6.62,3.76,6.62,4.57,6.62,4.12,6.62,4.2,6.62,4.24,6.62,5.66,6.62,4.85,6.62,5.34,6.62,5.9,6.62,6.2,6.62
21,31,1220,1,North Slope of the Mount Carmel (Carmel North),Bahái Holy Places in Haifa and the Western Galilee,Lieux saints baháis à Haïfa et en Galilée occidentale,2008,0, ,34.987123,32.814607,-9999.0,3.1462312480000003,1,0,0,0,0,1,(i)(vi),Cultural,C,Malta,Malte,Europe and North America,Europe et Amérique du nord,mt,mlt,0,2,,0.0,0,68,40.13,0.08524169999999999,1,1,1,0.0,0.0,0.0,3.93,8.7,3.93,8.7,3.89,8.7,4.41,8.7,4.05,8.7,4.09,8.7,4.09,8.7,4.89,8.7,4.41,8.7,4.53,8.7,4.57,8.7,6.01,8.7,5.21,8.7,5.73,8.7,6.01,8.7,6.01,8.7
22,32,1220,2,Persian Quarter (Carmel North),Bahái Holy Places in Haifa and the Western Galilee,Lieux saints baháis à Haïfa et en Galilée occidentale,2008,0, ,34.992072,32.818005,-9999.0,3.146228968,0,1,0,1,0,0,(ii)(iv),Cultural,C,France,France,Europe and North America,Europe et Amérique du nord,fr,fra,0,2,,0.0,2,29,15.194,0.22306320000000002,1,1,1,25700.40485,23654.82347,25700.40485,3.93,8.7,3.93,8.7,3.89,8.7,4.41,8.7,4.05,8.7,4.09,8.7,4.09,8.7,4.89,8.7,4.41,8.7,4.53,8.7,4.57,8.7,6.01,8.7,5.21,8.7,5.73,8.7,6.01,8.7,6.01,8.7
23,33,1220,3,Place of Revelation (Carmel West),Bahái Holy Places in Haifa and the Western Galilee,Lieux saints baháis à Haïfa et en Galilée occidentale,2008,0, ,34.974909000000004,32.822590999999996,-9999.0,3.1462258910000003,1,1,1,0,0,0,(i)(ii)(iii),Cultural,C,Libya,Libye,Arab States,États arabes,ly,lby,0,3,,-9999.0,0,30,12.824000000000002,0.3372363,1,1,0,0.0,27.04842146,0.0,3.93,8.7,3.93,8.7,3.89,8.7,4.41,8.7,4.05,8.7,4.09,8.7,4.09,8.7,4.89,8.7,4.41,8.7,4.53,8.7,4.57,8.7,6.01,8.7,5.21,8.7,5.73,8.7,6.01,8.7,6.01,8.7
24,34,1220,4,Bahai Cementary (Carmel West),Bahái Holy Places in Haifa and the Western Galilee,Lieux saints baháis à Haïfa et en Galilée occidentale,2008,0, ,34.97168319,32.82951032,-9999.0,0.644632634,0,0,1,0,0,0,(iii),Cultural,C,Libya,Libye,Arab States,États arabes,ly,lby,0,3,,-9999.0,1,16,10.694,0.4575724,1,1,0,0.0,9.030832107,0.0,3.93,8.7,3.93,8.7,3.89,8.7,4.41,8.7,4.05,8.7,4.09,8.7,4.09,8.7,4.89,8.7,4.41,8.7,4.53,8.7,4.57,8.7,6.01,8.7,5.21,8.7,5.73,8.7,6.01,8.7,6.01,8.7
25,35,1220,5,Bahji,Bahái Holy Places in Haifa and the Western Galilee,Lieux saints baháis à Haïfa et en Galilée occidentale,2008,0, ,35.09236199,32.94350692,-9999.0,15.15301872,0,0,1,1,0,0,(iii)(iv),Cultural,C,Algeria,Algérie,Arab States,États arabes,dz,dza,1,3,,0.0,216,263,247.0,0.0,0,0,0,1743.489493,1733.879706,1743.489493,3.93,8.7,3.93,8.7,3.89,8.7,4.41,8.7,4.05,8.7,4.09,8.7,4.09,8.7,4.89,8.7,4.41,8.7,4.53,8.7,4.57,8.7,6.01,8.7,5.21,8.7,5.73,8.7,6.01,8.7,6.01,8.7
26,36,1220,6,the Prison (Old Acre Sites),Bahái Holy Places in Haifa and the Western Galilee,Lieux saints baháis à Haïfa et en Galilée occidentale,2008,0, ,35.06911588,32.92362603,-9999.0,0.090810895,0,0,1,1,0,0,(iii)(iv),Cultural,C,Algeria,Algérie,Arab States,États arabes,dz,dza,1,3,,0.0,-1,29,17.375,0.22451710000000002,1,1,1,0.0,0.0,0.0,3.93,8.7,3.93,8.7,3.89,8.7,4.41,8.7,4.05,8.7,4.09,8.7,4.09,8.7,4.89,8.7,4.41,8.7,4.53,8.7,4.57,8.7,6.01,8.7,5.21,8.7,5.73,8.7,6.01,8.7,6.01,8.7
27,37,1220,7,House of Abbud (Old Acre Sites),Bahái Holy Places in Haifa and the Western Galilee,Lieux saints baháis à Haïfa et en Galilée occidentale,2008,0, ,35.06731832,32.92151122,-9999.0,0.06614326,0,0,1,1,0,0,(iii)(iv),Cultural,C,Algeria,Algérie,Arab States,États arabes,dz,dza,1,3,,0.0,-3,27,15.372,0.1575766,1,1,1,0.0,0.0,0.0,3.93,8.7,3.93,8.7,3.89,8.7,4.41,8.7,4.05,8.7,4.09,8.7,4.09,8.7,4.89,8.7,4.41,8.7,4.53,8.7,4.57,8.7,6.01,8.7,5.21,8.7,5.73,8.7,6.01,8.7,6.01,8.7
28,38,1220,8,House of Abdu'llah Pasha (Old Acre Sites),Bahái Holy Places in Haifa and the Western Galilee,Lieux saints baháis à Haïfa et en Galilée occidentale,2008,0, ,35.06799845,32.923672700000004,-9999.0,0.8988107120000001,0,0,1,1,0,1,(iii)(iv)(vi),Cultural,C,Lebanon,Liban,Arab States,États arabes,lb,lbn,0,3,,-9999.0,0,26,11.933,0.3026324,0,1,1,0.0,0.0,0.0,3.93,8.7,3.93,8.7,3.89,8.7,4.41,8.7,4.05,8.7,4.09,8.7,4.09,8.7,4.89,8.7,4.41,8.7,4.53,8.7,4.57,8.7,6.01,8.7,5.21,8.7,5.73,8.7,6.01,8.7,6.01,8.7
29,39,1220,9,Ridv'an Garden,Bahái Holy Places in Haifa and the Western Galilee,Lieux saints baháis à Haïfa et en Galilée occidentale,2008,0, ,35.09011471,32.9163676,-9999.0,9.535642971,0,0,1,0,0,1,(iii)(vi),Cultural,C,Lebanon,Liban,Arab States,États arabes,lb,lbn,0,2,3.0,0.0,-2,25,8.662393,0.7321238,1,1,1,0.0,0.0,0.0,3.93,8.7,3.93,8.7,3.89,8.7,4.41,8.7,4.05,8.7,4.09,8.7,4.09,8.7,4.89,8.7,4.41,8.7,4.53,8.7,4.57,8.7,6.01,8.7,5.21,8.7,5.73,8.7,6.01,8.7,6.01,8.7
30,40,1220,10,Mansion of Mazra'ih,Bahái Holy Places in Haifa and the Western Galilee,Lieux saints baháis à Haïfa et en Galilée occidentale,2008,0, ,35.09977824,32.98719269,-9999.0,4.427923823,0,0,1,0,0,0,(iii),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0.0,0,6,4.8,1.0,0,0,0,0.0,108.38627659999999,0.0,3.93,8.7,3.93,8.7,3.89,8.7,4.41,8.7,4.05,8.7,4.09,8.7,4.09,8.7,4.89,8.7,4.41,8.7,4.53,8.7,4.57,8.7,6.01,8.7,5.21,8.7,5.73,8.7,6.01,8.7,6.01,8.7
31,41,1220,11,Junayn,Bahái Holy Places in Haifa and the Western Galilee,Lieux saints baháis à Haïfa et en Galilée occidentale,2008,0, ,35.09524497,32.99423084,-9999.0,0.939546645,0,0,1,0,0,0,(iii),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0.0,19,23,19.0,0.0,1,0,0,827.4044731,1051.0185390000001,827.4044731,3.93,8.7,3.93,8.7,3.89,8.7,4.41,8.7,4.05,8.7,4.09,8.7,4.09,8.7,4.89,8.7,4.41,8.7,4.53,8.7,4.57,8.7,6.01,8.7,5.21,8.7,5.73,8.7,6.01,8.7,6.01,8.7
32,42,1042,0, ,Old City of Acre,Vieille ville dAcre,2001,0, ,35.07028866,32.9226549,63.3,44.70375724,1,1,1,1,0,0,(i)(ii)(iii)(iv),Cultural,C,Turkey,Turquie,Europe and North America,Europe et Amérique du nord,tr,tur,0,2,,0.0,16,52,39.125,0.0,1,1,1,339.8222776,96.17236133,339.8222776,4.96,8.64,4.96,8.64,4.92,8.64,5.44,8.64,5.08,8.64,5.12,8.64,5.12,8.64,5.92,8.64,5.44,8.64,5.5600000000000005,8.64,5.6,8.64,7.05,8.64,6.24,8.64,6.76,8.64,7.05,8.64,7.11,8.64
33,43,1096,0, ,White City of Tel-Aviv -- the Modern Movement,Ville blanche de Tel-Aviv  le mouvement moderne,2003,0, ,34.77396203,32.07385877,140.4,272.0858327,1,1,1,1,0,0,(i)(ii)(iii)(iv),Cultural,C,Turkey,Turquie,Europe and North America,Europe et Amérique du nord,tr,tur,0,2,,0.0,14,65,47.571000000000005,0.0,1,1,1,165.7704438,0.0,165.7704438,0.0,8.07,0.0,8.07,0.0,8.07,0.0,8.12,0.0,8.08,0.0,8.09,0.0,8.09,0.0,8.16,0.0,8.12,0.0,8.13,0.0,8.13,0.0,8.27,0.0,8.19,0.0,8.24,0.0,8.3,0.0,8.53
34,45,394,0, ,Venice and its Lagoon,Venise et sa lagune,1987,0, ,12.37550933,45.47187121,-9999.0,69672.09297,1,1,1,1,0,0,(i)(ii)(iii)(iv),Cultural,C,Turkey,Turquie,Europe and North America,Europe et Amérique du nord,tr,tur,0,2,,0.0,0,58,29.658,0.0784425,1,1,1,0.0,0.0,0.0,10.0,7.03,10.0,7.03,10.0,7.03,10.0,7.03,10.0,7.03,10.0,7.03,10.0,7.03,10.0,7.03,10.0,7.03,10.0,7.03,10.0,7.03,10.0,7.03,10.0,7.03,10.0,7.03,10.0,7.03,10.0,7.03
35,46,788,3,Neonian Baptistry,Early Christian Monuments of Ravenna,Monuments paléochrétiens de Ravenne,1996,0, ,12.197341999999999,44.415614,0.01,0.009950784,1,1,1,1,0,0,(i)(ii)(iii)(iv),Cultural,C,Turkey,Turquie,Europe and North America,Europe et Amérique du nord,tr,tur,0,2,,0.0,-1,88,40.876999999999995,0.1165655,1,1,1,76.55604081,349.2198326,76.55604081,9.84,0.0,9.88,0.0,9.84,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,8.64
36,49,788,2,Church of St. Vitale,Early Christian Monuments of Ravenna,Monuments paléochrétiens de Ravenne,1996,0, ,12.19634796,44.42053278,0.14,0.17426139899999998,1,1,1,1,1,1,(i)(ii)(iii)(iv)(v)(vi),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,1,2.0,0.0,-20,20,-0.62431,0.9997231,1,1,1,0.0,0.0,0.0,9.84,0.0,9.88,0.0,9.84,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,8.64
37,103,788,6,Arian Baptistry,Early Christian Monuments of Ravenna,Monuments paléochrétiens de Ravenne,1996,0, ,12.20243848,44.41870573,0.008,0.007960624,1,1,1,1,0,0,(i)(ii)(iii)(iv),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,4,,3.02,4,4,4.0,1.0,1,1,1,8474.368655,8685.868938,8474.368655,9.84,0.0,9.88,0.0,9.84,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,8.64
38,105,788,5,Basilica of St. Apollinaire Nuovo,Early Christian Monuments of Ravenna,Monuments paléochrétiens de Ravenne,1996,0, ,12.20493307,44.4167839,0.17,0.181851398,1,1,1,1,0,0,(i)(ii)(iii)(iv),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,4,,4.5,6,6,6.0,1.0,1,1,1,8282.902143000001,8477.572878,8282.902143000001,9.84,0.0,9.88,0.0,9.84,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,8.64
39,106,788,4,Archiepiscopal Chapel,Early Christian Monuments of Ravenna,Monuments paléochrétiens de Ravenne,1996,0, ,12.197322,44.415146,0.002,0.0019905310000000002,1,1,1,1,0,0,(i)(ii)(iii)(iv),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,4,,21.6,1,5,2.4211,1.0,1,1,1,7237.306084000001,7423.572437000001,7237.306084000001,9.84,0.0,9.88,0.0,9.84,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,8.64
